,TrialID,Public_title,Intervention,intervention_type
16,ChiCTR2000029947,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),experimental group :Traditional Chinese medicine compound granules + western medicine symptomatic treatmentcontrol group :western medicine symptomatic treatment  ,
17,ChiCTR2000029896,Evaluate the effectiveness of Traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),Case series:Prescription based on syndrome differentiation of TCM and Routine treatment of Western Medicine,
20,ChiCTR2000029830,"A study for the psychological status, social support, and care needs of tumor patients admitted to a general hospital during the novel coronavirus pneumonia (COVID-19) outbreak",tumor patients group:N/Anon tumor patients group:N/A,
31,NCT04252885,The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection,Drug: Lopinavir and Ritonavir TabletsDrug: Arbidol,
51,NCT04260308,A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia,,
72,ChiCTR2000030000,"An open, controlled clinical trial for evaluation of ganovo combined with ritonavir and integrated traditional Chinese and Western medicine in the treatment of novel coronavirus infection (COVID-19)",Ganovo / ritonavir group:Ganovo/ ritonavir oralPegasys group:Pegasys injectionNovaferon group:Novaferon  intramuscular injection+Spray inhalationCoriolus group:Coriolus  oralComparator:TCM+Spray inhalation,
78,ChiCTR2000029815,Psychological survey of frontline medical staff in various regions of China during the epidemic of novel coronavirus pneumonia (COVID-19),Case series:Nil,
115,ChiCTR2000029639,"Study for Mental health and psychological status of doctors, nurses and patients in novel coronavirus pneumonia (COVID-19) designated hospital and effect of interventions",doctors group:Psychological interventionnurses group:Psychological interventionsuspected cases group:Psychological intervention or drug interventioncases group:Psychological intervention or drug intervention,
116,ChiCTR2000030314,Traditional Chinese medicine Ma-Xing-Shi-Gan-Tang and Sheng-Jiang-San in the treatment of children with novel coronavirus pneumonia (COVID-19),Case series:Traditional Chinese medicine Ma-Xing-Shi-Gan-Tang and Sheng-Jiang-San,
125,ChiCTR2000029605,"A randomized, open-label, blank-controlled, multicenter trial for Shuang-Huang-Lian oral solution in the treatment of ovel coronavirus pneumonia (COVID-19)","Low dose group:Shuanghuanglian 2 bottles/time, 3 times a day Routine treatment.Medium dose of group:Shuanghuanglian 4 bottles/time, 3 times a day routine treatment.High dose of group:Shuanghuanglian 6 bottles/time, 3 times a day routine treatment.Control group:Routine treatment",
