trialid,first_seen
ChiCTR2000029953,08/03/2020
ChiCTR2000029935,08/03/2020
ChiCTR2000029868,08/03/2020
ChiCTR2000029850,08/03/2020
ChiCTR2000029814,08/03/2020
ChiCTR2000029805,08/03/2020
ChiCTR2000029789,08/03/2020
ChiCTR2000029782,08/03/2020
ChiCTR2000029764,08/03/2020
ChiCTR2000029695,08/03/2020
ChiCTR2000029656,08/03/2020
ChiCTR2000029626,08/03/2020
NCT04246242,08/03/2020
ChiCTR2000029949,08/03/2020
ChiCTR2000029624,08/03/2020
ChiCTR2000029601,08/03/2020
ChiCTR2000029569,18/03/2020
ChiCTR2000029542,18/03/2020
ChiCTR2000029811,08/03/2020
ChiCTR2000029539,08/03/2020
ChiCTR2000029462,18/03/2020
ChiCTR2000029810,08/03/2020
ChiCTR2000029779,08/03/2020
ChiCTR2000029438,08/03/2020
ChiCTR2000029436,08/03/2020
ChiCTR2000029778,08/03/2020
ChiCTR2000029777,08/03/2020
NCT04245631,08/03/2020
ChiCTR2000029418,08/03/2020
ChiCTR2000030173,08/03/2020
NCT04251871,08/03/2020
NCT04260594,18/03/2020
ChiCTR2000029776,08/03/2020
ChiCTR2000029742,08/03/2020
ChiCTR2000030168,08/03/2020
ChiCTR2000030166,08/03/2020
ChiCTR2000030118,08/03/2020
ChiCTR2000030116,08/03/2020
ChiCTR2000029741,08/03/2020
ChiCTR2000029637,08/03/2020
ChiCTR2000030093,08/03/2020
ChiCTR2000030084,08/03/2020
ChiCTR2000029636,08/03/2020
ChiCTR2000029589,08/03/2020
ChiCTR2000030043,08/03/2020
ChiCTR2000030041,08/03/2020
NCT04255940,08/03/2020
ChiCTR2000029883,08/03/2020
NCT04261426,08/03/2020
NCT04261907,08/03/2020
ChiCTR2000029941,08/03/2020
ChiCTR2000029578,18/03/2020
ChiCTR2000029518,08/03/2020
ChiCTR2000030034,08/03/2020
ChiCTR2000030032,08/03/2020
ChiCTR2000029939,08/03/2020
ChiCTR2000029907,08/03/2020
ChiCTR2000029869,08/03/2020
ChiCTR2000029867,08/03/2020
ChiCTR2000029517,08/03/2020
ChiCTR2000029495,08/03/2020
ChiCTR2000030016,08/03/2020
ChiCTR2000030007,08/03/2020
ChiCTR2000029905,08/03/2020
ChiCTR2000029870,08/03/2020
ChiCTR2000029849,08/03/2020
ChiCTR2000029822,08/03/2020
ChiCTR2000029956,08/03/2020
ChiCTR2000029855,08/03/2020
ChiCTR2000029853,08/03/2020
ChiCTR2000029493,08/03/2020
ChiCTR2000029432,08/03/2020
ChiCTR2000029813,18/03/2020
ChiCTR2000029839,08/03/2020
ChiCTR2000029821,08/03/2020
ChiCTR2000029781,08/03/2020
ChiCTR2000029740,08/03/2020
